Freq.	Ic(Q8)
Step Information: Cl=1µ  (Step: 1/2)
1.47910838816820e+02	(7.31615262982887e+01dB,-8.61951132141888e+01°)
1.51356124843620e+02	(7.29627781201020e+01dB,-8.63218235433688e+01°)
1.54881661891247e+02	(7.27639692361920e+01dB,-8.64466244103520e+01°)
1.58489319246110e+02	(7.25651021240199e+01dB,-8.65695792376472e+01°)
1.62181009735892e+02	(7.23661791418436e+01dB,-8.66907506469653e+01°)
1.65958690743755e+02	(7.21672025333358e+01dB,-8.68102004805679e+01°)
1.69824365246173e+02	(7.19681744320077e+01dB,-8.69279898222607e+01°)
1.73780082874936e+02	(7.17690968654282e+01dB,-8.70441790204050e+01°)
1.77827941003891e+02	(7.15699717592324e+01dB,-8.71588277093020e+01°)
1.81970085860997e+02	(7.13708009409568e+01dB,-8.72719948321041e+01°)
1.86208713666286e+02	(7.11715861436724e+01dB,-8.73837386630628e+01°)
1.90546071796323e+02	(7.09723290094502e+01dB,-8.74941168309075e+01°)
1.94984459975803e+02	(7.07730310926491e+01dB,-8.76031863412117e+01°)
1.99526231496887e+02	(7.05736938630269e+01dB,-8.77110036001198e+01°)
2.04173794466952e+02	(7.03743187087035e+01dB,-8.78176244372877e+01°)
2.08929613085403e+02	(7.01749069389511e+01dB,-8.79231041292680e+01°)
2.13796208950222e+02	(6.99754597868409e+01dB,-8.80274974228498e+01°)
2.18776162394954e+02	(6.97759784117300e+01dB,-8.81308585587635e+01°)
2.23872113856832e+02	(6.95764639016131e+01dB,-8.82332412950559e+01°)
2.29086765276776e+02	(6.93769172753277e+01dB,-8.83346989309533e+01°)
2.34422881531991e+02	(6.91773394846238e+01dB,-8.84352843299323e+01°)
2.39883291901947e+02	(6.89777314160997e+01dB,-8.85350499437807e+01°)
2.45470891568501e+02	(6.87780938930028e+01dB,-8.86340478362610e+01°)
2.51188643150956e+02	(6.85784276769132e+01dB,-8.87323297071918e+01°)
2.57039578276885e+02	(6.83787334692990e+01dB,-8.88299469146574e+01°)
2.63026799189536e+02	(6.81790119129411e+01dB,-8.89269505003394e+01°)
2.69153480392690e+02	(6.79792635932521e+01dB,-8.90233912128326e+01°)
2.75422870333815e+02	(6.77794890394799e+01dB,-8.91193195303090e+01°)
2.81838293126443e+02	(6.75796887257822e+01dB,-8.92147856853051e+01°)
2.88403150312659e+02	(6.73798630722022e+01dB,-8.93098396880104e+01°)
2.95120922666637e+02	(6.71800124455299e+01dB,-8.94045313498704e+01°)
3.01995172040200e+02	(6.69801371600560e+01dB,-8.94989103071831e+01°)
3.09029543251357e+02	(6.67802374782132e+01dB,-8.95930260448392e+01°)
3.16227766016836e+02	(6.65803136111222e+01dB,-8.96869279194450e+01°)
3.23593656929626e+02	(6.63803657190162e+01dB,-8.97806651838634e+01°)
3.31131121482589e+02	(6.61803939115744e+01dB,-8.98742870101154e+01°)
3.38844156139200e+02	(6.59803982481519e+01dB,-8.99678425129095e+01°)
3.46736850452529e+02	(6.57803787378957e+01dB,-9.00613807732749e+01°)
3.54813389233573e+02	(6.55803353397663e+01dB,-9.01549508623911e+01°)
3.63078054770099e+02	(6.53802679624502e+01dB,-9.02486018650737e+01°)
3.71535229097170e+02	(6.51801764641808e+01dB,-9.03423829026322e+01°)
3.80189396320558e+02	(6.49800606524364e+01dB,-9.04363431574222e+01°)
3.89045144994278e+02	(6.47799202835539e+01dB,-9.05305318956002e+01°)
3.98107170553494e+02	(6.45797550622231e+01dB,-9.06249984909029e+01°)
4.07380277804110e+02	(6.43795646408858e+01dB,-9.07197924479121e+01°)
4.16869383470332e+02	(6.41793486190181e+01dB,-9.08149634260241e+01°)
4.26579518801589e+02	(6.39791065423116e+01dB,-9.09105612624185e+01°)
4.36515832240163e+02	(6.37788379017432e+01dB,-9.10066359959179e+01°)
4.46683592150960e+02	(6.35785421325338e+01dB,-9.11032378899944e+01°)
4.57088189614872e+02	(6.33782186129831e+01dB,-9.12004174572897e+01°)
4.67735141287195e+02	(6.31778666632215e+01dB,-9.12982254809822e+01°)
4.78630092322635e+02	(6.29774855437883e+01dB,-9.13967130411678e+01°)
4.89778819368442e+02	(6.27770744541592e+01dB,-9.14959315349811e+01°)
5.01187233627268e+02	(6.25766325310897e+01dB,-9.15959327021990e+01°)
5.12861383991361e+02	(6.23761588468572e+01dB,-9.16967686486540e+01°)
5.24807460249769e+02	(6.21756524073887e+01dB,-9.17984918682878e+01°)
5.37031796370249e+02	(6.19751121502385e+01dB,-9.19011552665744e+01°)
5.49540873857620e+02	(6.17745369424156e+01dB,-9.20048121855577e+01°)
5.62341325190345e+02	(6.15739255781235e+01dB,-9.21095164237564e+01°)
5.75439937337152e+02	(6.13732767762787e+01dB,-9.22153222632641e+01°)
5.88843655355584e+02	(6.11725891779769e+01dB,-9.23222844881639e+01°)
